benchmark,metric,score,occluder_type,visibility
ImageNet-Occluded,accuracy,0.3706504051782647,filled_triangles,0.8
ImageNet-Occluded,accuracy,0.5502532976014274,filled_triangles,0.9
ImageNet-Occluded,accuracy,0.0015146683673469,patch_drop,0.1
ImageNet-Occluded,accuracy,0.0029097576530612,patch_drop,0.2
ImageNet-Occluded,accuracy,0.0050422512755102,patch_drop,0.3
ImageNet-Occluded,accuracy,0.0113400829081632,patch_drop,0.4
ImageNet-Occluded,accuracy,0.0284717793443373,patch_drop,0.5
ImageNet-Occluded,accuracy,0.0627989477040816,patch_drop,0.6
ImageNet-Occluded,accuracy,0.1434151785714285,patch_drop,0.7
ImageNet-Occluded,accuracy,0.2877670599489796,patch_drop,0.8
ImageNet-Occluded,accuracy,0.4750199299685809,patch_drop,0.9
